,agent,model,test_nlp_mf,test_nlp_mb,test_nlp_habit,test_nlp_wsls,test_nlp_kdh,test_nlp_logistic_regression,test_nlp_rnn_100,test_nlp_rnn_200,test_nlp_rnn_400,test_nlp_rnn_600,test_nlp_rnn_1000,best_test_nlp_rnn,best_epoch
321,321,wsls,0.6931471824645996,0.6937203512191772,0.620525309741497,0.3770600087731145,0.6948943733572961,0.28596120880357917,0.6497586846351624,0.5763650894165039,0.49216681718826294,0.360179203748703,0.30427256226539606,0.30427256226539606,1000
322,322,wsls,0.6942265526652337,0.6938862214684487,0.6931471824645996,0.5675031309723855,0.6867147528529167,0.565711157798767,0.6465027570724488,0.5798391938209534,0.5743989467620849,0.5814166069030762,0.5950721025466919,0.5743989467620849,400
323,323,wsls,0.6931471824645996,0.6936921674013138,0.6931471824645996,0.3107932327613234,0.6915820751190186,0.30979859954118727,0.6409253716468811,0.48958749771118165,0.335729432106018,0.32568202614784236,0.3215350568294525,0.3215350568294525,1000
324,324,wsls,0.6829720498919487,0.6921064439415932,0.6860064666271211,0.6318603383302689,0.6939101419448852,0.6309067533910275,0.6828155636787414,0.6550931692123413,0.6549262046813965,0.6433199405670166,0.7139938592910766,0.6433199405670166,600
325,325,wsls,0.6931471824645996,0.6931471824645996,0.6669304841756821,0.5173761411681771,0.69356417542696,0.5155486157909036,0.6506163716316223,0.6088289022445679,0.5668720126152038,0.5448961734771729,0.5398026645183563,0.5398026645183563,1000
326,326,wsls,0.3446280045593157,0.607758717790246,0.6466459554135799,0.2628781574368476,0.6948165549635886,0.2612477596662938,0.6649757027626038,0.6084088087081909,0.5223930299282074,0.3713682949542999,0.27229970693588257,0.27229970693588257,1000
327,327,wsls,0.6808882912099362,0.688837253600359,0.6931471824645996,0.4572947755977511,0.6938174629807472,0.4543586519695818,0.6662912845611573,0.6307608127593994,0.5257586240768433,0.48828341960906985,0.47251673936843874,0.47251673936843874,1000
328,328,wsls,0.6937481105923653,0.6937245608568191,0.6726320732235909,0.6169246878027915,0.6941371364593506,0.6169327672421933,0.671218752861023,0.657773494720459,0.6470145344734192,0.6429035305976868,0.7029520750045777,0.6429035305976868,600
329,329,wsls,0.3657080661542713,0.6657847993373871,0.25030658653378485,0.2013881464444566,0.6934724273085594,0.2033480249596759,0.5039357841014862,0.33028255701065057,0.26081334352493285,0.2515203058719635,0.22476536333560942,0.22476536333560942,1000
330,330,wsls,0.3416208596443757,0.5973260972946882,0.6328087657392025,0.2727980262637138,0.6910303287506103,0.2739889230802655,0.6567477941513061,0.6165908336639404,0.529186749458313,0.3698532283306122,0.2966185450553894,0.2966185450553894,1000
331,331,wsls,0.43527588817849755,0.6493708747029305,0.6279694548547268,0.3893097794577479,0.6929747778177261,0.3864122272990643,0.6537044644355774,0.6168339848518372,0.5224743485450745,0.47546094059944155,0.4104879319667816,0.4104879319667816,1000
332,332,wsls,0.6941403946876525,0.6938560519814491,0.6931698305010796,0.6694409066736698,0.6930824640989304,0.6698413358926774,0.6841657876968383,0.6745495080947876,0.6831074833869935,0.6817910552024842,0.7402902364730835,0.6745495080947876,200
333,333,wsls,0.6972355124950409,0.6952392249703407,0.42183870722353456,0.3102105559045448,0.6985418580174446,0.3089444115236401,0.5793227672576904,0.46677966713905333,0.3895921468734741,0.3511618971824646,0.3314399361610412,0.3314399361610412,1000
334,334,wsls,0.6780715592801572,0.6876642841100693,0.6931471824645996,0.412814729873091,0.6979690880179406,0.40877730454131955,0.6662779211997986,0.6133283019065857,0.5409228205680847,0.4291494309902191,0.6026264369487763,0.4291494309902191,600
335,335,wsls,0.6494874842464924,0.6707247309088707,0.6931481378674507,0.46960762239247555,0.6936137992143631,0.46669035672023884,0.667113471031189,0.6291979432106019,0.537273371219635,0.49565818905830383,0.501725310087204,0.49565818905830383,600
336,336,wsls,0.6931471824645996,0.6922442578077316,0.6931471824645996,0.5342762844562531,0.6958126336932182,0.5346607706397772,0.6686685681343079,0.6001187682151794,0.5572211742401123,0.546822988986969,0.5803103566169738,0.546822988986969,600
337,337,wsls,0.6972723112106324,0.6935225882530213,0.6056750029921532,0.544457882463932,0.6946426233649253,0.5404105595648289,0.6600669264793396,0.6074809670448303,0.5893130421638488,0.5613662600517273,0.5866973042488098,0.5613662600517273,600
338,338,wsls,0.6932370696663857,0.6932513487935067,0.5037518761754036,0.3303097080197185,0.6943007565736771,0.3293804623298347,0.5994612812995911,0.5048822522163391,0.4381558895111084,0.37028200626373287,0.3370324015617371,0.3370324015617371,1000
339,339,wsls,0.6931471824645996,0.6932632604241371,0.6931471824645996,0.5383989429324865,0.6939498619437219,0.5379589631557464,0.678363835811615,0.6693980693817139,0.6310727834701538,0.5653772234916687,0.6580021858215332,0.5653772234916687,600
340,340,wsls,0.6756346064507961,0.6924261793494224,0.29668955472856756,0.26400890437513586,0.6711329760551452,0.2603605336211621,0.5552330255508423,0.4025800287723541,0.318829607963562,0.28826558589935297,0.2702133327722549,0.2702133327722549,1000
341,341,wsls,0.6931863200068473,0.6928810891509056,0.5965759634077549,0.5812297941297293,0.6959601450562477,0.5778585207313298,0.6535594701766968,0.6135862946510315,0.588260042667389,0.59457346200943,0.6361435055732727,0.588260042667389,400
342,342,wsls,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.4232070572525263,0.7006034666299821,0.42010412066429853,0.6289507031440735,0.4739792585372925,0.4298584461212158,0.42359957098960876,0.4255481958389282,0.42359957098960876,600
343,343,wsls,0.6931471824645996,0.6931471824645996,0.6931471824645996,0.23540007012337444,0.6885909036397935,0.22949911093339317,0.6055864810943603,0.45037381649017333,0.2571654826402664,0.2412489354610443,0.2358526527881622,0.2358526527881622,1000
344,344,wsls,0.6905481320023537,0.6907999548316002,0.6922183724641799,0.6592507045269013,0.6902804586291313,0.657080103456974,0.6718599200248718,0.6583356857299805,0.6679356575012207,0.6694469928741456,0.7033228278160095,0.6583356857299805,200
345,345,wsls,0.5726285734325647,0.6352026835680007,0.685646979033947,0.49057897298783065,0.6960059814453124,0.4900843953639269,0.6725804686546326,0.6409151434898377,0.5855791687965393,0.541374146938324,0.5158336758613586,0.5158336758613586,1000
