,agent,fit_parameters_mf,train_nlp_mf,test_acc_mf,test_nlp_mf,fit_parameters_mb,train_nlp_mb,test_acc_mb,test_nlp_mb,fit_parameters_habit,train_nlp_habit,test_acc_habit,test_nlp_habit,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_kdh,train_nlp_kdh,test_acc_kdh,test_nlp_kdh,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression
145,29,[0.48115464 3.67817105],0.46304780963866193,0.77,0.483540488705039,[0.82491966 8.80953693],0.2432852886728466,0.875,0.22572388492757456,[0.35046355 2.28053504],0.4283374465044934,0.765,0.4871540579944849,[0.91411048 0.36129029],0.43340136916200755,0.765,0.4929524601623416,[0.46000004 0.44749995],0.6887839324320659,0.515,0.6956230857968331,"[array([1.33616321]), array([[0.35566849, 0.98265411, 3.2061881 ]])]",0.3117989178956486,0.8040201005025126,0.35142282443121076
146,29,[0.42656749 3.81414756],0.4724085769015249,0.79,0.44208628619089724,[0.83016903 8.74315222],0.24806730179664346,0.875,0.20935842366889118,[0.35118535 2.19269704],0.44959304358671104,0.845,0.40475937027484177,[0.90618748 0.39597298],0.44587552345567955,0.82,0.45251093588769437,[0.47249967 0.48500037],0.692165315059924,0.615,0.6847229927778244,"[array([1.2075052]), array([[0.25639837, 0.84146633, 3.17114785]])]",0.32488165857736023,0.8140703517587939,0.31620665807276965
147,29,[0.51691689 3.31839952],0.4972875441730856,0.835,0.3656929534859955,[0.83709274 9.15584625],0.24862394687337755,0.89,0.23310045959195122,[0.35106407 2.18553458],0.4513522928148283,0.825,0.3982208378985524,[0.89711933 0.3674119 ],0.45944342728057164,0.81,0.4066656546294689,[0.43999998 0.45      ],0.6870341069830009,0.48,0.7039067241549491,"[array([1.2785837]), array([[-0.03188232,  0.68885838,  3.27938781]])]",0.33000880646519365,0.8442211055276382,0.31042174696922303
148,29,[0.42828155 4.21845135],0.44305834042504527,0.755,0.5073569586500526,[0.8303407  8.39813613],0.24885179838084476,0.875,0.23203989760484547,[0.32847381 2.26234218],0.43938399461870487,0.805,0.44483788948506114,[0.89959847 0.37873751],0.45339945295770506,0.805,0.4320454467087984,[0.4574994  0.46249897],0.6899309778904069,0.54,0.6899563324451446,"[array([1.26629378]), array([[0.04048781, 0.61521688, 3.24070897]])]",0.32749610251747074,0.8140703517587939,0.32199038881808517
149,29,[0.40354113 4.24794998],0.44736827847172705,0.81,0.4852861558739096,[0.82976072 8.79374903],0.23553494051972346,0.855,0.2557520265365019,[0.33412491 2.27302194],0.43498908252895047,0.795,0.45270776461809875,[0.90258461 0.36824322],0.44513336023461675,0.785,0.45565890803933146,[0.4600002  0.46499998],0.6903192671265918,0.55,0.6884660303592682,"[array([1.20453371]), array([[0.0923041 , 0.82799347, 3.12916862]])]",0.32611740797758104,0.8040201005025126,0.31246747836470606
150,30,[0.45975594 3.43339805],0.5222058630540748,0.805,0.44157875517383216,[0.7717562  7.10912174],0.28970401857946126,0.875,0.26966750108171256,[0.40115486 2.05063818],0.4668964333247692,0.865,0.3966152932867408,[0.888412   0.33933892],0.4712860895060251,0.835,0.42745452720671895,[0.51249998 0.52499996],0.6923654536024229,0.49,0.6946797385811806,"[array([1.29499407]), array([[0.08808847, 0.21359177, 2.606429  ]])]",0.37982744914013894,0.8190954773869347,0.37707920564338565
151,30,[0.38406389 3.89272805],0.5034892740306264,0.695,0.5408969608321786,[0.76296952 7.60646885],0.27356349789406187,0.855,0.32694162271451205,[0.4402965  2.09072799],0.4480970228178069,0.825,0.4702285791561007,[0.8927834 0.3216557],0.45392260471527435,0.775,0.4970741638541222,[0.52749989 0.53000031],0.6914898080428348,0.45,0.700462247133255,"[array([1.29636406]), array([[0.19105423, 0.20007897, 2.377007  ]])]",0.3775443937536329,0.7738693467336684,0.38919647194445134
152,30,[0.         3.46360867],0.6931469805599655,0.54,0.6931471824645996,[0.75858847 7.09667125],0.2859335953846685,0.845,0.28762000309769065,[0.39271178 2.15637626],0.4448007162073101,0.785,0.4896748850122094,[0.88594713 0.31818187],0.4595039681480273,0.775,0.47518370285630224,[0.49499996 0.51750007],0.6928156675865886,0.48,0.6933783519268036,"[array([1.29628416]), array([[0.02878987, 0.12863568, 2.42646124]])]",0.38118796885944906,0.7788944723618091,0.37476714357733726
153,30,[0.57109869 3.08341347],0.5178190119038024,0.72,0.5824325761944056,[0.79552472 6.76113704],0.3078580510654698,0.875,0.24064785971306266,[0.40796235 2.07615253],0.4591871864509129,0.805,0.44027061849832533,[0.88981295 0.34905651],0.46657080268334383,0.82,0.45211214900016783,[0.49249998 0.50250002],0.6930844784243594,0.505,0.693859755396843,"[array([1.26785932]), array([[0.29236325, 0.04658733, 2.31157025]])]",0.39198461262509227,0.7738693467336684,0.34732481572777035
154,30,[0.43002892 3.44308269],0.5439843119352334,0.805,0.4478433863446116,[0.75541593 6.81142876],0.29832431087049127,0.865,0.2644292074162513,[0.40563366 2.09926497],0.45401810385539465,0.805,0.45994125939905645,[0.88818573 0.32923073],0.4658274231840208,0.805,0.45934906851500273,[0.51250103 0.51499736],0.6927656805257232,0.51,0.6928784936666489,"[array([1.25011873]), array([[0.11933829, 0.31588211, 2.52348825]])]",0.37840649756602945,0.7839195979899497,0.39817528452724216
