,agent,fit_parameters_hybrid,train_nlp_hybrid,test_acc_hybrid,test_nlp_hybrid,fit_parameters_wsls,train_nlp_wsls,test_acc_wsls,test_nlp_wsls,fit_parameters_logistic_regression,train_nlp_logistic_regression,test_acc_logistic_regression,test_nlp_logistic_regression,train_acc_rnn,train_nlp_rnn,test_acc_rnn,test_nlp_rnn
49,6,[0.02250709 4.26456713 1.        ],0.6896173362383243,0.32,0.7240156865272804,[0.64284994 0.15469701],0.5375926110814739,0.66,0.5920662691978962,"[array([1.16712447]), array([[-1.06749683, -0.20285011,  0.05199968]])]",0.5347246299127096,0.673469387755102,0.5697452523173898,0.7428571581840515,0.5625600218772888,0.6800000071525574,0.618614673614502
50,6,[0.01512092 4.27924362 1.        ],0.6917509015371027,0.62,0.7075176605347815,[0.64367806 0.14857223],0.5358672275678791,0.68,0.6048403045027843,"[array([1.24993667]), array([[-0.95081834, -0.42381447, -0.24322146]])]",0.5286731263889625,0.673469387755102,0.6123363985959445,0.7171428799629211,0.6014987826347351,0.6800000071525574,0.6280919313430786
51,6,[0.01723176 2.49315921 1.        ],0.6925028463147426,0.46,0.6957033710246194,[0.63583814 0.17045439],0.5557282569608253,0.78,0.4677680873590975,"[array([1.11195492]), array([[-0.9362635 , -0.24901488, -0.06053523]])]",0.5523065750953914,0.7755102040816326,0.4485926986155357,0.7314285635948181,0.5672324895858765,0.7599999904632568,0.5308894515037537
52,6,[0.00925486 5.7652259  1.        ],0.6920859081448305,0.68,0.6707416935084103,[0.63005782 0.17045451],0.5572850898232012,0.78,0.48267312747419117,"[array([1.13818863]), array([[-0.93900063, -0.40186634, -0.10880076]])]",0.5514287944058023,0.7755102040816326,0.4753415518519455,0.7057142853736877,0.6258665919303894,0.7599999904632568,0.6138941049575806
53,6,[0.  0.1 1. ],0.6931469805599653,0.54,0.6931469805599658,[0.60240977 0.16939888],0.5585752626786041,0.8,0.48676375862230686,"[array([1.07865649]), array([[-1.09383439, -0.37322935, -0.03525416]])]",0.5535959551381252,0.8163265306122449,0.47141647386792307,0.7228571176528931,0.5748531818389893,0.800000011920929,0.5268420577049255
54,6,[0.  0.1 1. ],0.6931469805599653,0.5,0.6931469805599658,[0.63068138 0.16184957],0.5519901780877406,0.74,0.5342237445746394,"[array([1.1449512]), array([[-0.97911706, -0.32504888, -0.13353414]])]",0.5471559922130453,0.7346938775510204,0.5218220890443118,0.7314285635948181,0.5922701358795166,0.699999988079071,0.6029184460639954
55,6,[1.76946467e-03 1.00000000e+01 1.00000000e+00],0.6925332795439297,0.8,0.6726934627325092,[0.60795427 0.14450862],0.542892456891432,0.76,0.6099532607767423,"[array([1.23417184]), array([[-1.3898941 , -0.54396524,  0.19607685]])]",0.5352548579536166,0.7551020408163265,0.6061373056220115,0.7314285635948181,0.5799646377563477,0.7599999904632568,0.6131432056427002
56,7,[1.00225803e-04 5.67550346e+00 9.99989105e-01],0.6931445577836607,0.46,0.6931743222757114,[0.60112353 0.84210533],0.5571181434745635,0.66,0.6116113228922564,"[array([-0.58262055]), array([[ 1.81528176, -0.17962973,  0.3273399 ]])]",0.5537412582154755,0.6530612244897959,0.5909350551497056,0.6342856884002686,0.6469461917877197,0.6000000238418579,0.6655070781707764
57,7,[0.  0.1 1. ],0.6931469805599653,0.58,0.6931469805599658,[0.5966851  0.83333339],0.5669760319884924,0.72,0.5422940610013385,"[array([-0.54762573]), array([[ 1.74681992, -0.2102947 ,  0.31378756]])]",0.5634670470244278,0.7142857142857143,0.5271520246643101,0.7171428799629211,0.5818087458610535,0.6000000238418579,0.642264723777771
58,7,[1.         0.96241454 0.26727754],0.6559091363967106,0.56,0.686013710563938,[0.60227351 0.84393141],0.5540123802430489,0.64,0.6254771342268469,"[array([-0.62096329]), array([[ 1.79734601, -0.03412153,  0.35288992]])]",0.550913060067445,0.6530612244897959,0.6042686740505937,0.6485714316368103,0.6474323272705078,0.5,0.6821513175964355
59,7,[1.         0.87327216 0.1055715 ],0.6550619328901292,0.62,0.6773535493161207,[0.58947363 0.84276732],0.5671595090346103,0.78,0.5335479992166355,"[array([-0.60248602]), array([[ 1.76693248, -0.14131782,  0.30278221]])]",0.5644214169592942,0.7755102040816326,0.5114603681183943,0.6742857098579407,0.620964765548706,0.6200000047683716,0.6276073455810547
60,7,[4.37400150e-04 6.35426626e+00 3.05239258e-01],0.6931178896062482,0.54,0.6928478272592126,[0.59322049 0.8372093 ],0.5619999745671785,0.7,0.5766122039993825,"[array([-0.6358962]), array([[ 1.6200677, -0.029297 ,  0.5890307]])]",0.5546107725875251,0.5918367346938775,0.5983126149158329,0.6714285612106323,0.5991814136505127,0.5799999833106995,0.6529660224914551
61,7,[0.92215918 0.87137869 0.20967269],0.6631396288350275,0.64,0.6420058785669318,[0.58288828 0.85185225],0.5591042477582845,0.7,0.6145032983729832,"[array([-0.69351127]), array([[1.83632008, 0.04728815, 0.21075552]])]",0.5570509789010283,0.7142857142857143,0.5902696434711902,0.5914285778999329,0.6502121090888977,0.5600000023841858,0.6544957160949707
